[09:16:25]  Demmarrage version : 0.9.9.0
[09:16:57] 	 Ouverture de la table : C:\Naizin\GUER_B_P.G5\SS_DATEI.DB
[09:16:57] 	 Ouverture de la table : C:\Naizin\GUER_B_P.G6\SS_DATEI.DB
[09:16:57] 	 Ouverture de la table : C:\Naizin\KERV_B_E.XU\SS_DATEI.DB
[09:16:57] 	 Ouverture de la table : C:\Naizin\FOUR_B_P.F1\SS_DATEI.DB
[09:16:57] 	 Ouverture de la table : C:\Naizin\FOUR_B_P.F2\SS_DATEI.DB
[09:16:57] 	 Ouverture de la table : C:\Naizin\FOUR_B_P.F3\SS_DATEI.DB
[09:16:57] 	 Ouverture de la table : C:\Naizin\TOUL_B_M.ET\SS_DATEI.DB
[09:16:58] 	 Ouverture de la table : C:\Naizin\GBM_03.DB
[09:16:58] 	 Ouverture de la table : C:\Naizin\KERV_C_E.XU\SS_DATEI.DB
[09:16:58] 	 Ouverture de la table : C:\Naizin\KERR_C_P.K1\SS_DATEI.DB
[09:16:58] 	 Ouverture de la table : C:\Naizin\KERR_C_P.K2\SS_DATEI.DB
[09:16:58] 	 Ouverture de la table : C:\Naizin\KERR_C_P.K3\SS_DATEI.DB
[09:16:58] 	 Ouverture de la table : C:\Naizin\KERR_C_P.K4\SS_DATEI.DB
[09:16:58] 	 Ouverture de la table : C:\Naizin\GUER_C_P.G2\SS_DATEI.DB
[09:16:58] 	 Ouverture de la table : C:\Naizin\GUER_C_P.G3\SS_DATEI.DB
[09:16:58] 	 Ouverture de la table : C:\Naizin\GUER_C_P.G4\SS_DATEI.DB
[09:16:58] 	 Ouverture de la table : C:\Naizin\GUER_C_P.G5\SS_DATEI.DB
[09:16:58] 	 Ouverture de la table : C:\Naizin\GUER_C_P.G6\SS_DATEI.DB
[09:16:58] 	 Ouverture de la table : C:\Naizin\GUER_C_P.G1\SS_DATEI.DB
[09:16:58] 	 Ouverture de la table : C:\Naizin\GBM_01.DB
[09:16:58] 	 Ouverture de la table : C:\Naizin\00002MET.EO\SS_DATEI.DB
[09:16:58] 	 Ouverture de la table : C:\Naizin\GBM_04.DB
[09:16:58] 	 Ouverture de la table : C:\Naizin\KERV_E_E.XU\SS_DATEI.DB
[09:16:58] 	 Ouverture de la table : C:\Naizin\GBM_06.DB
[09:16:58] 	 Ouverture de la table : C:\Naizin\GUER_V_P.G1\SS_DATEI.DB
[09:16:58] 	 Ouverture de la table : C:\Naizin\GUER_V_P.G2\SS_DATEI.DB
[09:16:58] 	 Ouverture de la table : C:\Naizin\GUER_V_P.G3\SS_DATEI.DB
[09:16:58] 	 Ouverture de la table : C:\Naizin\GUER_V_P.G4\SS_DATEI.DB
[09:16:58] 	 Ouverture de la table : C:\Naizin\GUER_V_P.G5\SS_DATEI.DB
[09:16:58] 	 Ouverture de la table : C:\Naizin\GUER_V_P.G6\SS_DATEI.DB
[09:16:58] 	 Ouverture de la table : C:\Naizin\KERR_V_P.K2\SS_DATEI.DB
[09:16:58] 	 Ouverture de la table : C:\Naizin\KERR_V_P.K3\SS_DATEI.DB
[09:16:58] 	 Ouverture de la table : C:\Naizin\KERR_V_P.K4\SS_DATEI.DB
[09:16:58] 	 Ouverture de la table : C:\Naizin\KERV_V_E.XU\SS_DATEI.DB
[09:16:58] 	 Ouverture de la table : C:\Naizin\KERR_V_P.K1\SS_DATEI.DB
[09:16:58] 	 Ouverture de la table : C:\Naizin\AUTOEXPO.DB
[09:16:58] 	 Ouverture de la table : C:\Naizin\EXPO001.DB
[09:17:01]  Lecture des stations pour : C:\Naizin\ pour la configuration automatique
[09:17:01] 	 Ouverture de la table : C:\Naizin\GB_DATEI.DB
[09:17:01] 	 Ouverture de la table : C:\Naizin\GBM_02.DB
[09:17:01] 	 Ouverture de la table : C:\Naizin\KERR_B_P.K1\SS_DATEI.DB
[09:17:01] 	 Ouverture de la table : C:\Naizin\KERR_B_P.K2\SS_DATEI.DB
[09:17:01] 	 Ouverture de la table : C:\Naizin\KERR_B_P.K3\SS_DATEI.DB
[09:17:01] 	 Ouverture de la table : C:\Naizin\KERR_B_P.K4\SS_DATEI.DB
[09:17:01] 	 Ouverture de la table : C:\Naizin\KERR_B_P.K5\SS_DATEI.DB
[09:17:01] 	 Ouverture de la table : C:\Naizin\KERR_B_P.K6\SS_DATEI.DB
[09:17:01] 	 Ouverture de la table : C:\Naizin\GUER_B_P.G1\SS_DATEI.DB
[09:17:01] 	 Ouverture de la table : C:\Naizin\GUER_B_P.G2\SS_DATEI.DB
[09:17:01] 	 Ouverture de la table : C:\Naizin\GUER_B_P.G3\SS_DATEI.DB
[09:17:01] 	 Ouverture de la table : C:\Naizin\GUER_B_P.G4\SS_DATEI.DB
[09:17:01] 	 Ouverture de la table : C:\Naizin\GUER_B_P.G5\SS_DATEI.DB
[09:17:01] 	 Ouverture de la table : C:\Naizin\GUER_B_P.G6\SS_DATEI.DB
[09:17:01] 	 Ouverture de la table : C:\Naizin\KERV_B_E.XU\SS_DATEI.DB
[09:17:01] 	 Ouverture de la table : C:\Naizin\FOUR_B_P.F1\SS_DATEI.DB
[09:17:01] 	 Ouverture de la table : C:\Naizin\FOUR_B_P.F2\SS_DATEI.DB
[09:17:01] 	 Ouverture de la table : C:\Naizin\FOUR_B_P.F3\SS_DATEI.DB
[09:17:01] 	 Ouverture de la table : C:\Naizin\TOUL_B_M.ET\SS_DATEI.DB
[09:17:01] 	 Ouverture de la table : C:\Naizin\GBM_03.DB
[09:17:01] 	 Ouverture de la table : C:\Naizin\KERV_C_E.XU\SS_DATEI.DB
[09:17:01] 	 Ouverture de la table : C:\Naizin\KERR_C_P.K1\SS_DATEI.DB
[09:17:01] 	 Ouverture de la table : C:\Naizin\KERR_C_P.K2\SS_DATEI.DB
[09:17:01] 	 Ouverture de la table : C:\Naizin\KERR_C_P.K3\SS_DATEI.DB
[09:17:01] 	 Ouverture de la table : C:\Naizin\KERR_C_P.K4\SS_DATEI.DB
[09:17:01] 	 Ouverture de la table : C:\Naizin\GUER_C_P.G2\SS_DATEI.DB
[09:17:01] 	 Ouverture de la table : C:\Naizin\GUER_C_P.G3\SS_DATEI.DB
[09:17:01] 	 Ouverture de la table : C:\Naizin\GUER_C_P.G4\SS_DATEI.DB
[09:17:01] 	 Ouverture de la table : C:\Naizin\GUER_C_P.G5\SS_DATEI.DB
[09:17:01] 	 Ouverture de la table : C:\Naizin\GUER_C_P.G6\SS_DATEI.DB
[09:17:01] 	 Ouverture de la table : C:\Naizin\GUER_C_P.G1\SS_DATEI.DB
[09:17:01] 	 Ouverture de la table : C:\Naizin\GBM_01.DB
[09:17:01] 	 Ouverture de la table : C:\Naizin\00002MET.EO\SS_DATEI.DB
[09:17:01] 	 Ouverture de la table : C:\Naizin\GBM_04.DB
[09:17:01] 	 Ouverture de la table : C:\Naizin\KERV_E_E.XU\SS_DATEI.DB
[09:17:01] 	 Ouverture de la table : C:\Naizin\GBM_06.DB
[09:17:01] 	 Ouverture de la table : C:\Naizin\GUER_V_P.G1\SS_DATEI.DB
[09:17:01] 	 Ouverture de la table : C:\Naizin\GUER_V_P.G2\SS_DATEI.DB
[09:17:01] 	 Ouverture de la table : C:\Naizin\GUER_V_P.G3\SS_DATEI.DB
[09:17:01] 	 Ouverture de la table : C:\Naizin\GUER_V_P.G4\SS_DATEI.DB
[09:17:01] 	 Ouverture de la table : C:\Naizin\GUER_V_P.G5\SS_DATEI.DB
[09:17:01] 	 Ouverture de la table : C:\Naizin\GUER_V_P.G6\SS_DATEI.DB
[09:17:01] 	 Ouverture de la table : C:\Naizin\KERR_V_P.K2\SS_DATEI.DB
[09:17:01] 	 Ouverture de la table : C:\Naizin\KERR_V_P.K3\SS_DATEI.DB
[09:17:01] 	 Ouverture de la table : C:\Naizin\KERR_V_P.K4\SS_DATEI.DB
[09:17:01] 	 Ouverture de la table : C:\Naizin\KERV_V_E.XU\SS_DATEI.DB
[09:17:01] 	 Ouverture de la table : C:\Naizin\KERR_V_P.K1\SS_DATEI.DB
[09:17:01] 	 Ouverture de la table : C:\Naizin\AUTOEXPO.DB
[09:17:01] 	 Ouverture de la table : C:\Naizin\EXPO001.DB
[09:17:05]  Rafraichissement de la configuration
[09:17:05] 	 Connection pour pi OK
[09:17:05] 	 Test des domaines
[09:17:05] 		 Domaine C:\Naizin\  -> Ok
[09:17:05] 		 Domaine C:\EFELE\  -> Ok
[09:17:05] 	 Connection Admin OK
[09:17:05] 	 pi deja connecte
[09:17:32]  Sortie de programme
[09:17:38]  Demmarrage version : 0.9.9.0
[09:17:38]  lecture de la configuration
[09:17:38]  Rafraichissement de la configuration
[09:17:39] 	 Activation surveillance de : C:\export
[09:17:39] 	 Connection pour pi OK
[09:17:39] 	 Test des domaines
[09:17:39] 		 Domaine C:\Naizin\  -> Ok
[09:17:39] 		 Domaine C:\EFELE\  -> Ok
[09:17:39] 	 Connection Admin OK
[09:17:39] 	 pi deja connecte
[09:17:42] 	 Ouverture de la table : C:\Users\mradam\AppData\Local\VirtualStore\Program Files (x86)\OTT\HYDRAS3\WS_DATEI.DB
[09:17:55] 	 Ouverture de la table : AUTOEXPO.DB
[09:17:55] 	 Fichier AUTOEXPO.DB non trouvé
[09:18:18] 	 Ouverture de la table : C:\EFELE\GB_DATEI.DB
[09:18:20] 	 Ouverture de la table : C:\EFELE\GBM_00.DB
[09:18:21] 	 Ouverture de la table : C:\EFELE\GBM_01.DB
[09:18:30]  Sortie de programme
[09:19:36]  Demmarrage version : 0.9.9.0
[09:19:36]  lecture de la configuration
[09:19:36]  Rafraichissement de la configuration
[09:19:36] 	 Activation surveillance de : C:\export
[09:19:36] 	 Connection pour pi OK
[09:19:36] 	 Test des domaines
[09:19:36] 		 Domaine C:\Naizin\  -> Ok
[09:19:36] 		 Domaine C:\EFELE\  -> Ok
[09:19:36] 	 Connection Admin OK
[09:19:36] 	 pi deja connecte
[09:19:41] 	 Ouverture de la table : C:\Users\mradam\AppData\Local\VirtualStore\Program Files (x86)\OTT\HYDRAS3\WS_DATEI.DB
[09:20:36]  Sortie de programme
[09:27:11]  Demmarrage version : 0.9.9.0
[09:27:11]  lecture de la configuration
[09:27:11]  Rafraichissement de la configuration
[09:27:12] 	 Activation surveillance de : C:\export
[09:27:12] 	 Connection pour pi OK
[09:27:12] 	 Test des domaines
[09:27:12] 		 Domaine C:\Naizin\  -> Ok
[09:27:12] 		 Domaine C:\EFELE\  -> Ok
[09:27:12] 	 Connection Admin OK
[09:27:12] 	 pi deja connecte
[09:27:15] 	 Arret de la surveillance de : C:\export
[09:27:17]  lecture de la configuration
[09:27:17]  Rafraichissement de la configuration
[09:27:17] 	 Connection pour pi OK
[09:27:17] 	 Test des domaines
[09:27:17] 		 Domaine C:\Naizin\  -> Ok
[09:27:17] 		 Domaine C:\EFELE\  -> Ok
[09:27:18] 	 Connection Admin OK
[09:27:18] 	 pi deja connecte
[09:27:21] 	 Ouverture de la table : C:\Users\mradam\AppData\Local\VirtualStore\Program Files (x86)\OTT\HYDRAS3\WS_DATEI.DB
[09:27:26] 	 Ouverture de la table : C:\EFELE\GB_DATEI.DB
[09:27:30] 	 Ouverture de la table : C:\EFELE\GBM_00.DB
[09:27:32] 	 Ouverture de la table : C:\EFELE\GBM_01.DB
[09:27:33] 	 Ouverture de la table : C:\EFELE\GBM_00.DB
[09:27:35] 		 Table : C:\EFELE\GBM_00.DB deja ouverte
[09:27:36] 	 Ouverture de la table : C:\EFELE\GBM_01.DB
[09:27:39]  Sortie de programme
[10:01:52]  Demmarrage version : 0.9.9.0
[10:01:52]  lecture de la configuration
[10:01:52]  Rafraichissement de la configuration
[10:01:53] 	 Activation surveillance de : C:\export
[10:01:53] 	 Connection pour pi OK
[10:01:53] 	 Test des domaines
[10:01:53] 		 Domaine C:\Naizin\  -> Ok
[10:01:53] 		 Domaine C:\EFELE\  -> Ok
[10:01:53] 	 Connection Admin OK
[10:01:53] 	 pi deja connecte
[10:01:55]  Sortie de programme
[10:03:54]  Demmarrage version : 0.9.9.0
[10:03:54]  lecture de la configuration
[10:03:54]  Rafraichissement de la configuration
[10:03:54] 	 Activation surveillance de : C:\export
[10:03:54] 	 Connection pour pi OK
[10:03:54] 	 Test des domaines
[10:03:54] 		 Domaine C:\Naizin\  -> Ok
[10:03:54] 		 Domaine C:\EFELE\  -> Ok
[10:03:54] 	 Connection Admin OK
[10:03:54] 	 pi deja connecte
[10:04:15]  Sortie de programme
[10:05:37]  Demmarrage version : 0.9.9.0
[10:05:37]  lecture de la configuration
[10:05:37]  Rafraichissement de la configuration
[10:05:37] 	 Activation surveillance de : C:\export
[10:05:37] 	 Connection pour pi OK
[10:05:37] 	 Test des domaines
[10:05:37] 		 Domaine C:\Naizin\  -> Ok
[10:05:37] 		 Domaine C:\EFELE\  -> Ok
[10:05:37] 	 Connection Admin OK
[10:05:37] 	 pi deja connecte
[10:12:40]  Sortie de programme
[10:19:04]  Demmarrage version : 0.9.9.0
[10:19:04]  lecture de la configuration
[10:19:04]  Rafraichissement de la configuration
[10:19:05] 	 Activation surveillance de : C:\export
[10:19:05] 	 Connection pour pi OK
[10:19:05] 	 Test des domaines
[10:19:05] 		 Domaine C:\Naizin\  -> Ok
[10:19:05] 		 Domaine C:\EFELE\  -> Ok
[10:19:05] 	 Connection Admin OK
[10:19:05] 	 pi deja connecte
[10:20:40]  Sortie de programme
[10:21:22]  Demmarrage version : 0.9.9.0
[10:21:22]  lecture de la configuration
[10:21:22]  Rafraichissement de la configuration
[10:21:22] 	 Activation surveillance de : C:\export
[10:21:22] 	 Connection pour pi OK
[10:21:22] 	 Test des domaines
[10:21:22] 		 Domaine C:\Naizin\  -> Ok
[10:21:22] 		 Domaine C:\EFELE\  -> Ok
[10:21:22] 	 Connection Admin OK
[10:21:22] 	 pi deja connecte
[10:21:32] 	 Arret de la surveillance de : C:\export
[10:21:36]  Lecture des stations pour : C:\Naizin\ pour la configuration automatique
[10:21:36] 	 Ouverture de la table : C:\Naizin\GB_DATEI.DB
[10:21:36] 	 Ouverture de la table : C:\Naizin\GBM_02.DB
[10:21:36] 	 Ouverture de la table : C:\Naizin\KERR_B_P.K1\SS_DATEI.DB
[10:21:36] 	 Ouverture de la table : C:\Naizin\KERR_B_P.K2\SS_DATEI.DB
[10:21:36] 	 Ouverture de la table : C:\Naizin\KERR_B_P.K3\SS_DATEI.DB
[10:21:36] 	 Ouverture de la table : C:\Naizin\KERR_B_P.K4\SS_DATEI.DB
[10:21:36] 	 Ouverture de la table : C:\Naizin\KERR_B_P.K5\SS_DATEI.DB
[10:21:36] 	 Ouverture de la table : C:\Naizin\KERR_B_P.K6\SS_DATEI.DB
[10:21:36] 	 Ouverture de la table : C:\Naizin\GUER_B_P.G1\SS_DATEI.DB
[10:21:36] 	 Ouverture de la table : C:\Naizin\GUER_B_P.G2\SS_DATEI.DB
[10:21:36] 	 Ouverture de la table : C:\Naizin\GUER_B_P.G3\SS_DATEI.DB
[10:21:36] 	 Ouverture de la table : C:\Naizin\GUER_B_P.G4\SS_DATEI.DB
[10:21:36] 	 Ouverture de la table : C:\Naizin\GUER_B_P.G5\SS_DATEI.DB
[10:21:36] 	 Ouverture de la table : C:\Naizin\GUER_B_P.G6\SS_DATEI.DB
